date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:44:45	33979/33979	---M--	200	added ('OK')	application/javascript	date:Wed,%2023%20Oct%202013%2012:11:25%20GMT	http://www.domerama.com/wp-content/themes/suffusion/scripts/suffusion.js?ver=4.4.7	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/themes/suffusion/scripts/suffusion946e.js	(from http://www.domerama.com/)
17:44:46	2841/2841	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.mouse.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.mouse.mindb08.js	(from http://www.domerama.com/)
17:44:46	8368/8368	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.accordion.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.accordion.mindb08.js	(from http://www.domerama.com/)
17:44:49	17273/17273	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.resizable.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.resizable.mindb08.js	(from http://www.domerama.com/)
17:44:50	18559/18559	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.draggable.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.draggable.mindb08.js	(from http://www.domerama.com/)
17:44:50	93085/93085	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Oct%202013%2013:40:35%20GMT	http://www.domerama.com/wp-includes/js/jquery/jquery.js?ver=1.10.2	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/jquery3e5a.js	(from http://www.domerama.com/)
17:44:50	7143/7143	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.button.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.button.mindb08.js	(from http://www.domerama.com/)
17:44:51	6273/6273	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.position.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.position.mindb08.js	(from http://www.domerama.com/)
17:44:52	11185/11185	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.dialog.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.dialog.mindb08.js	(from http://www.domerama.com/)
17:44:53	133048/133048	---MC-	200	added ('OK')	text/xml	date:Mon,%2028%20Oct%202013%2020:23:54%20GMT	http://www.domerama.com/feed/	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/feed/index.html	(from http://www.domerama.com/)
17:44:54	24178/24178	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202013%2005:59:54%20GMT	http://www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.sortable.min.js?ver=1.10.3	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-includes/js/jquery/ui/jquery.ui.sortable.mindb08.js	(from http://www.domerama.com/)
17:44:55	20/20	---M--	200	added ('OK')	text/javascript	date:Mon,%2011%20Jul%202022%2015:44:54%20GMT	http://www.domerama.com/?wpui-script=before&ver=3.6.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/index56aa.html	(from http://www.domerama.com/)
17:44:55	27855/27855	---M--	200	added ('OK')	application/javascript	date:Tue,%2010%20Sep%202013%2001:57:58%20GMT	http://www.domerama.com/wp-content/plugins/wp-ui/js/wp-ui.js?ver=0.8.8	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-ui/js/wp-ui6f86.js	(from http://www.domerama.com/)
17:44:55	4656/4656	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Jan%202013%2003:09:55%20GMT	http://www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/powertools-mobile-1.1.1.js?ver=1.1.1	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/powertools-mobile-1.1.1c64e.js	(from http://www.domerama.com/)
17:44:56	12115/12115	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Jan%202013%2003:09:55%20GMT	http://www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/scrollGallery.js?ver=1.12	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/scrollGallery2f3e.js	(from http://www.domerama.com/)
17:44:56	2941/2941	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jul%202022%2015:44:56%20GMT	http://www.domerama.com/wp-content/plugins/wp-click-info/wp-click-info.js.php?ver=1.0	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/wp-click-info/wp-click-info.js5152.html	(from http://www.domerama.com/)
17:44:58	88540/88540	---M--	200	added ('OK')	application/javascript	date:Tue,%2022%20Jan%202013%2003:09:55%20GMT	http://www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/mootools-core-1.3.2-full-compat.js?ver=1.3.2	C:/Users/ElCone/source/repos/GeodesicDomeCalculator/HTTrack/Domerama/www.domerama.com/wp-content/plugins/nextgen-scrollgallery/scrollGallery/js/mootools-core-1.3.2-full-compat9e1e.js	(from http://www.domerama.com/)
